Assembly	Chromosome	Start	End	Size	Knob180	TR-1	NGap	Bionano.size	Assembled
11k_50x	7	155075000	155132000	57000	23231	0	100	2384000	2.4
16k_50x	7	153196000	153598000	402000	79037	10178	255925	2384000	16.9
21k_20x	7	152633000	152684000	51000	21256	0	100	2384000	2.1
21k_30x	7	153070000	154945000	1875000	339637	7895	1291298	2384000	78.6
21k_40x	7	152935000	154786000	1851000	513859	18035	1061083	2384000	77.6
21k_50x	7	152912000	154936000	2024000	788186	38321	806153	2384000	84.9
21k_60x	7	152908000	155188000	2280000	1194099	68683	549710	2384000	95.6
21k_75x	7	153072000	155113000	2041000	1221516	40958	260205	2384000	85.6
11k_50x	4	221045000	222348000	1303000	157762	30155	901518	2716000	48.0
16k_50x	4	218442000	219763000	1321000	288592	41041	710991	2716000	48.6
21k_20x	4	217910000	218573000	663000	88974	30075	383515	2716000	24.4
21k_30x	4	218528000	219310000	782000	209568	40875	333034	2716000	28.8
21k_40x	4	218054000	219377000	1323000	464723	59296	433929	2716000	48.7
21k_50x	4	217795000	218909000	1114000	457817	59406	119473	2716000	41.0
21k_60x	4	217285000	219097000	1812000	800467	95167	458797	2716000	66.7
21k_75x	4	217256000	219078000	1822000	963576	95222	269819	2716000	67.1
