Assembly	Chromosome	Type	Start	End	Size	CentC	Ngap 100N
11k_50x	1	Repetitive	137480000	137709999	230000	57653	100	Y
11k_50x	2	Repetitive	98440000	98824999	385000	115533	40385	Y
11k_50x	3	Complex	88910000	90269999	1360000	55510	37848	N
11k_50x	4	Complex	111365000	113154999	1790000	23214	9424	N
11k_50x	5	Complex	104065000	106119999	2055000	0	0	N
11k_50x	6	Repetitive	53020000	53314999	295000	99402	100	Y
11k_50x	7	Repetitive	56600000	56624999	25000	12332	100	Y
11k_50x	8	Repetitive	47455000	49424999	1970000	5268	0	Y
11k_50x	9	Repetitive	59735000	60404999	670000	49289	238637	Y
11k_50x	10	Repetitive	54100000	54314999	215000	96178	26037	Y
16k_50x	1	Repetitive	135635000	136254999	620000	210413	100	Y
16k_50x	2	Repetitive	97550000	98179999	630000	190860	100	Y
16k_50x	3	Complex	87680000	89339999	1660000	183278	0	N
16k_50x	4	Complex	110215000	111899999	1685000	18355	0	N
16k_50x	5	Complex	102545000	104504999	1960000	0	0	N
16k_50x	6	Repetitive	53085000	53459999	375000	148315	100	Y
16k_50x	7	Repetitive	55950000	56034999	85000	31753	100	Y
16k_50x	8	Repetitive	47035000	48999999	1965000	14306	100	Y
16k_50x	9	Repetitive	59375000	60019999	645000	51180	222726	Y
16k_50x	10	Repetitive	53730000	53929999	200000	132854	100	Y
21k_20x	1	Repetitive	135860000	135994999	135000	39423	100	Y
21k_20x	2	Repetitive	96295000	96724999	430000	7972	22352	Y
21k_20x	3	Complex	87610000	88804999	1195000	11108	235965	N
21k_20x	4	Complex	109855000	111249999	1395000	9996	398523	N
21k_20x	5	Complex	102475000	104454999	1980000	0	68399	N
21k_20x	6	Repetitive	52255000	52264999	10000	0	0	Y
21k_20x	7	Repetitive	NA	NA	NA	NA	NA	Y
21k_20x	8	Repetitive	46600000	48454999	1855000	915	179302	Y
21k_20x	9	Repetitive	59140000	59434999	295000	13033	248205	Y
21k_20x	10	Repetitive	NA	NA	NA	NA	NA	Y
21k_30x	1	Repetitive	135510000	135874999	365000	87381	100	Y
21k_30x	2	Repetitive	97160000	97424999	265000	17312	100	Y
21k_30x	3	Complex	87725000	89244999	1520000	159098	100	N
21k_30x	4	Complex	110295000	112089999	1795000	18033	134937	N
21k_30x	5	Complex	102765000	104754999	1990000	0	0	N
21k_30x	6	Repetitive	53520000	53574999	55000	17795	0	Y
21k_30x	7	Repetitive	55925000	55999999	75000	15826	100	Y
21k_30x	8	Repetitive	46740000	48739999	2000000	14716	2609	Y
21k_30x	9	Repetitive	59100000	60099999	1000000	54165	231938	Y
21k_30x	10	Repetitive	53610000	53909999	300000	131531	49702	Y
21k_40x	1	Repetitive	135370000	135904999	535000	152651	10942	Y
21k_40x	2	Repetitive	97095000	97379999	285000	23663	100	Y
21k_40x	3	Complex	87440000	89059999	1620000	183193	0	N
21k_40x	4	Complex	110225000	111994999	1770000	18007	0	N
21k_40x	5	Complex	102435000	104494999	2060000	0	0	N
21k_40x	6	Repetitive	52725000	53129999	405000	164491	100	Y
21k_40x	7	Repetitive	55900000	55989999	90000	35144	100	Y
21k_40x	8	Repetitive	46840000	48789999	1950000	21175	3443	Y
21k_40x	9	Repetitive	59165000	60169999	1005000	46880	237534	Y
21k_40x	10	Repetitive	53335000	53724999	390000	182180	4885	Y
21k_50x	1	Repetitive	135430000	136239999	810000	353559	100	Y
21k_50x	2	Repetitive	96975000	97399999	425000	86772	100	Y
21k_50x	3	Complex	87420000	89064999	1645000	180122	0	N
21k_50x	4	Complex	110305000	111984999	1680000	18235	0	N
21k_50x	5	Complex	102335000	104359999	2025000	0	0	N
21k_50x	6	Repetitive	53520000	53899999	380000	147603	100	Y
21k_50x	7	Repetitive	55960000	56044999	85000	26624	100	Y
21k_50x	8	Repetitive	46870000	48839999	1970000	38096	100	Y
21k_50x	9	Repetitive	59020000	60119999	1100000	185642	31801	Y
21k_50x	10	Repetitive	53360000	53624999	265000	143603	100	Y
21k_60x	1	Repetitive	135310000	136334999	1025000	447607	100	Y
21k_60x	2	Repetitive	97035000	97574999	540000	174399	100	Y
21k_60x	3	Complex	87470000	89084999	1615000	183319	0	N
21k_60x	4	Complex	109300000	111059999	1760000	18337	0	N
21k_60x	5	Complex	102530000	104579999	2050000	0	0	N
21k_60x	6	Repetitive	53165000	53794999	630000	304515	100	Y
21k_60x	7	Repetitive	55905000	56009999	105000	35139	100	Y
21k_60x	8	Repetitive	46865000	49069999	2205000	136180	100	Y
21k_60x	9	Repetitive	59045000	60199999	1155000	263496	222791	Y
21k_60x	10	Repetitive	53430000	53759999	330000	195975	100	Y
21k_75x	1	Repetitive	134940000	136504999	1565000	471095	100	Y
21k_75x	2	Repetitive	96895000	97419999	525000	160498	100	Y
21k_75x	3	Complex	87455000	89089999	1635000	181527	0	N
21k_75x	4	Complex	109355000	111134999	1780000	18211	0	N
21k_75x	5	Complex	102720000	104684999	1965000	0	0	N
21k_75x	6	Repetitive	54045000	54674999	630000	316465	100	Y
21k_75x	7	Repetitive	55880000	56034999	155000	70461	100	Y
21k_75x	8	Repetitive	46885000	49319999	2435000	259425	100	Y
21k_75x	9	Repetitive	59190000	60344999	1155000	339464	94154	Y
21k_75x	10	Repetitive	53475000	53649999	175000	114974	0	Y
