Assembly	Locus	Chromosome	Start	End	Assembled	Gap	Bionano.size	Percent
11k_50x	Rp1-D	chr10	3208951	3744012	535062	0	536000	99.83%
16k_50x	Rp1-D	chr10	3220835	3756401	535567	0	536000	99.92%
21k_20x	Rp1-D	chr10	3174015	3659526	485512	110951	536000	69.88%
21k_30x	Rp1-D	chr10	3230582	3764793	534212	3010	536000	99.10%
21k_40x	Rp1-D	chr10	3243686	3778609	534924	0	536000	99.80%
21k_50x	Rp1-D	chr10	3220903	3756460	535558	0	536000	99.92%
21k_60x	Rp1-D	chr10	3222035	3757768	535734	0	536000	99.95%
21k_75x	Rp1-D	chr10	3222239	3757985	535747	0	536000	99.95%
11k_50x	zein	chr4	5235176	5297502	62327	0	62400	99.88%
16k_50x	zein	chr4	5067736	5130092	62357	0	62400	99.93%
21k_20x	zein	chr4	5094647	5151392	56746	0	62400	90.94%
21k_30x	zein	chr4	5227565	5289795	62231	0	62400	99.73%
21k_40x	zein	chr4	5153674	5215988	62315	0	62400	99.86%
21k_50x	zein	chr4	5238850	5301205	62356	0	62400	99.93%
21k_60x	zein	chr4	5267091	5329454	62364	0	62400	99.94%
21k_75x	zein	chr4	5251326	5313730	62405	0	62400	100.01%
