Assembly	Chromosome	Start	End	CentC	Ngap	Assembly.size	Bionano.size
11k_50x	1	137484000	137542000	28015	0	59000	1143000
16k_50x	1	135639000	136248000	210413	100	610000	1143000
21k_20x	1	135864000	135991000	39126	100	128000	1143000
21k_30x	1	135514000	135871000	87381	100	358000	1143000
21k_40x	1	135375000	135899000	152651	10942	525000	1143000
21k_50x	1	135408000	136308000	374351	100	901000	1143000
21k_60x	1	135267000	136335000	467666	100	1069000	1143000
21k_75x	1	135546000	136707000	530143	100	1162000	1143000
11k_50x	2	98541000	98825000	115533	40385	285000	988000
16k_50x	2	97769000	98181000	191312	100	413000	988000
21k_20x	2	96678000	96703000	7819	100	26000	988000
21k_30x	2	97375000	97423000	16513	100	49000	988000
21k_40x	2	97313000	97316000	1117	0	4000	988000
21k_50x	2	97193000	97398000	86772	100	206000	988000
21k_60x	2	97255000	97571000	174399	100	317000	988000
21k_75x	2	97118000	97419000	160498	100	302000	988000
11k_50x	3	88912000	89076000	55510	100	165000	577000
16k_50x	3	87724000	88175000	183278	0	452000	577000
21k_20x	3	87644000	87663000	11108	0	20000	577000
21k_30x	3	87727000	88082000	159098	100	356000	577000
21k_40x	3	87445000	87895000	183193	0	451000	577000
21k_50x	3	87462000	87909000	180122	0	448000	577000
21k_60x	3	87471000	87922000	183319	0	452000	577000
21k_75x	3	87458000	87907000	181527	0	450000	577000
11k_50x	4	112106000	112354000	23214	0	249000	208000
16k_50x	4	110896000	111026000	16981	0	131000	208000
21k_20x	4	110641000	110795000	9996	0	155000	208000
21k_30x	4	111017000	111223000	18033	0	207000	208000
21k_40x	4	110947000	111154000	18007	0	208000	208000
21k_50x	4	110981000	111188000	18235	0	208000	208000
21k_60x	4	110021000	110228000	18337	0	208000	208000
21k_75x	4	110091000	110298000	18211	0	208000	208000
11k_50x	5	107953000	108172000	78095	18086	220000	269000
16k_50x	5	106322000	106541000	89732	0	220000	269000
21k_20x	5	106280000	106292000	5819	0	13000	269000
21k_30x	5	106572000	106790000	84815	4311	219000	269000
21k_40x	5	106285000	106504000	89601	0	220000	269000
21k_50x	5	106179000	106398000	89163	0	220000	269000
21k_60x	5	106397000	106616000	89633	0	220000	269000
21k_75x	5	106497000	106740000	101634	0	244000	269000
21k_75x	5	106497000	106740000	101634	0	244000	269000
11k_50x	6	52985000	53313000	100706	0	329000	245000
16k_50x	6	53049000	53511000	190943	100	463000	245000
21k_20x	6	0	0	0	0	1000	245000
21k_30x	6	53508000	53596000	37692	100	89000	245000
21k_40x	6	52688000	53180000	206531	100	493000	245000
21k_50x	6	53487000	53961000	195659	100	475000	245000
21k_60x	6	53130000	53846000	347053	100	717000	245000
21k_75x	6	54010000	54740000	365362	100	731000	245000
11k_50x	7	58388000	58680000	30441	178500	293000	294000
16k_50x	7	57788000	58080000	90462	113686	293000	294000
21k_20x	7	57652000	57791000	20095	56075	140000	294000
21k_30x	7	57762000	58054000	58983	144652	293000	294000
21k_40x	7	57740000	58033000	110789	85106	294000	294000
21k_50x	7	57793000	58085000	115991	80079	293000	294000
21k_60x	7	57762000	58067000	137849	60257	306000	294000
21k_75x	7	57788000	58081000	162015	33262	294000	294000
11k_50x	8	49412000	49425000	5268	0	14000	332000
16k_50x	8	48977000	48999000	14154	100	23000	332000
21k_20x	8	48450000	48458000	1056	100	9000	332000
21k_30x	8	48713000	48736000	14716	100	24000	332000
21k_40x	8	48761000	48791000	21606	100	31000	332000
21k_50x	8	48793000	48840000	38096	100	48000	332000
21k_60x	8	48802000	49067000	136180	100	266000	332000
21k_75x	8	48820000	49321000	259956	100	502000	332000
11k_50x	9	59744000	60299000	49289	238637	556000	889000
16k_50x	9	59375000	59819000	51180	222726	445000	889000
21k_20x	9	59140000	59435000	13033	248205	296000	889000
21k_30x	9	59106000	59631000	54165	231938	526000	889000
21k_40x	9	59174000	59698000	46880	237534	525000	889000
21k_50x	9	59020000	59647000	185642	31801	628000	889000
21k_60x	9	59053000	60086000	263496	222791	1034000	889000
21k_75x	9	59201000	60232000	339464	94154	1032000	889000
11k_50x	10	54103000	54326000	102328	26037	224000	770000
16k_50x	10	53611000	53941000	191572	100	331000	770000
21k_20x	10	0	0	0	0	1000	770000
21k_30x	10	53684000	53921000	137381	3989	238000	770000
21k_40x	10	53372000	53708000	182180	4885	337000	770000
21k_50x	10	53362000	53633000	147176	100	272000	770000
21k_60x	10	53431000	53772000	203121	100	342000	770000
21k_75x	10	53360000	53650000	164608	0	291000	770000
